category,Url
Art,https://www.goodreads.com/genres/Art
Biography,https://www.goodreads.com/genres/Biography
Business,https://www.goodreads.com/genres/Business
Children's,https://www.goodreads.com/genres/Children's
Christian,https://www.goodreads.com/genres/Christian
Classics,https://www.goodreads.com/genres/Classics
Comics,https://www.goodreads.com/genres/Comics
Cookbooks,https://www.goodreads.com/genres/Cookbooks
Ebooks,https://www.goodreads.com/genres/Ebooks
Fantasy,https://www.goodreads.com/genres/Fantasy
Fiction,https://www.goodreads.com/genres/Fiction
Graphic Novels,https://www.goodreads.com/genres/Graphic Novels
Historical Fiction,https://www.goodreads.com/genres/Historical Fiction
History,https://www.goodreads.com/genres/History
Horror,https://www.goodreads.com/genres/Horror
Memoir,https://www.goodreads.com/genres/Memoir
Music,https://www.goodreads.com/genres/Music
Mystery,https://www.goodreads.com/genres/Mystery
Nonfiction,https://www.goodreads.com/genres/Nonfiction
Poetry,https://www.goodreads.com/genres/Poetry
Psychology,https://www.goodreads.com/genres/Psychology
Romance,https://www.goodreads.com/genres/Romance
Science,https://www.goodreads.com/genres/Science
Science Fiction,https://www.goodreads.com/genres/Science Fiction
Self Help,https://www.goodreads.com/genres/Self Help
Sports,https://www.goodreads.com/genres/Sports
Thriller,https://www.goodreads.com/genres/Thriller
Travel,https://www.goodreads.com/genres/Travel
Young Adult,https://www.goodreads.com/genres/Young Adult
More Genres,https://www.goodreads.com/genres/More Genres
,https://www.goodreads.com/genres/
View profile,https://www.goodreads.com/genres/View profile
Art,https://www.goodreads.com/genres/Art
Biography,https://www.goodreads.com/genres/Biography
Business,https://www.goodreads.com/genres/Business
Children's,https://www.goodreads.com/genres/Children's
Christian,https://www.goodreads.com/genres/Christian
Classics,https://www.goodreads.com/genres/Classics
Comics,https://www.goodreads.com/genres/Comics
Cookbooks,https://www.goodreads.com/genres/Cookbooks
Ebooks,https://www.goodreads.com/genres/Ebooks
Fantasy,https://www.goodreads.com/genres/Fantasy
Fiction,https://www.goodreads.com/genres/Fiction
Graphic Novels,https://www.goodreads.com/genres/Graphic Novels
Historical Fiction,https://www.goodreads.com/genres/Historical Fiction
History,https://www.goodreads.com/genres/History
Horror,https://www.goodreads.com/genres/Horror
Memoir,https://www.goodreads.com/genres/Memoir
Music,https://www.goodreads.com/genres/Music
Mystery,https://www.goodreads.com/genres/Mystery
Nonfiction,https://www.goodreads.com/genres/Nonfiction
Poetry,https://www.goodreads.com/genres/Poetry
Psychology,https://www.goodreads.com/genres/Psychology
Romance,https://www.goodreads.com/genres/Romance
Science,https://www.goodreads.com/genres/Science
Science Fiction,https://www.goodreads.com/genres/Science Fiction
Self Help,https://www.goodreads.com/genres/Self Help
Sports,https://www.goodreads.com/genres/Sports
Thriller,https://www.goodreads.com/genres/Thriller
Travel,https://www.goodreads.com/genres/Travel
Young Adult,https://www.goodreads.com/genres/Young Adult
More Genres,https://www.goodreads.com/genres/More Genres
Art,https://www.goodreads.com/genres/Art
Biography,https://www.goodreads.com/genres/Biography
Business,https://www.goodreads.com/genres/Business
Chick Lit,https://www.goodreads.com/genres/Chick Lit
Children's,https://www.goodreads.com/genres/Children's
Christian,https://www.goodreads.com/genres/Christian
Classics,https://www.goodreads.com/genres/Classics
Comics,https://www.goodreads.com/genres/Comics
Contemporary,https://www.goodreads.com/genres/Contemporary
Cookbooks,https://www.goodreads.com/genres/Cookbooks
Crime,https://www.goodreads.com/genres/Crime
Ebooks,https://www.goodreads.com/genres/Ebooks
Fantasy,https://www.goodreads.com/genres/Fantasy
Fiction,https://www.goodreads.com/genres/Fiction
Gay and Lesbian,https://www.goodreads.com/genres/Gay and Lesbian
Graphic Novels,https://www.goodreads.com/genres/Graphic Novels
Historical Fiction,https://www.goodreads.com/genres/Historical Fiction
History,https://www.goodreads.com/genres/History
Horror,https://www.goodreads.com/genres/Horror
Humor and Comedy,https://www.goodreads.com/genres/Humor and Comedy
Manga,https://www.goodreads.com/genres/Manga
Memoir,https://www.goodreads.com/genres/Memoir
Music,https://www.goodreads.com/genres/Music
Mystery,https://www.goodreads.com/genres/Mystery
Nonfiction,https://www.goodreads.com/genres/Nonfiction
Paranormal,https://www.goodreads.com/genres/Paranormal
Philosophy,https://www.goodreads.com/genres/Philosophy
Poetry,https://www.goodreads.com/genres/Poetry
Psychology,https://www.goodreads.com/genres/Psychology
Religion,https://www.goodreads.com/genres/Religion
Romance,https://www.goodreads.com/genres/Romance
Science,https://www.goodreads.com/genres/Science
Science Fiction,https://www.goodreads.com/genres/Science Fiction
Self Help,https://www.goodreads.com/genres/Self Help
Suspense,https://www.goodreads.com/genres/Suspense
Spirituality,https://www.goodreads.com/genres/Spirituality
Sports,https://www.goodreads.com/genres/Sports
Thriller,https://www.goodreads.com/genres/Thriller
Travel,https://www.goodreads.com/genres/Travel
Young Adult,https://www.goodreads.com/genres/Young Adult
